s
19
1
5
22
7
4
21
23
9
5
18
5
25
1
13
19
4
26
5
20
16
13
1
3
26
3
22
23
5
13
2
14
25
7
24
21
18
20
13
18
23
3
8
4
12
19
14
1
26
4
7
4
2
20
18
14
24
4
26
25
23
14
25
11
3
12
6
23
1
8
6
3
25
11
25
18
4
14
18
11
1
17
7
14
19
5
14
11
8
4
24
4
4
16
4
23
26
7
15
23
12
2
11
9
7
10
9
5
15
18
23
22
26
3
23
5
14
14
26
22
11
1
17
8
14
12
12
25
9
19
21
14
7
10
20
3
25
2
10
11
21
6
7
20
23
13
23
24
16
18
10
25
15
6
11
5
6
22
26
11
20
14
7
7
1
25
25
4
20
25
9
1
18
14
22
9
7
24
5
2
19
12
3
11
16
12
26
5
12
22
5
21
2
9
24
13
4
26
14
16
4
12
13
25
7
25
5
7
4
16
2
22
15
17
26
11
17
13
9
18
5
10
23
8
1
4
10
8
14
18
26
26
4
18
6
18
11
3
6
24
16
6
17
6
10
2
13
12
19
19
18
3
11
16
17
7
26
10
24
15
14
11
16
16
17
10
22
13
24
9
13
17
22
7
11
19
2
15
2
1
15
4
10
24
6
2
24
17
10
17
22
19
1
23
9
14
8
9
26
8
19
17
24
20
5
12
3
15
24
5
1
15
1
11
12
19
5
19
11
25
21
21
21
24
1
17
8
26
24
15
4
26
18
16
23
14
4
5
10
11
3
10
3
8
24
14
17
1
20
25
10
9
26
19
20
16
8
4
24
17
8
1
3
22
6
25
14
3
16
5
24
6
18
4
19
2
18
18
16
18
21
4
1
20
7
8
5
4
9
14
22
2
14
13
3
5
14
18
6
13
7
20
4
10
4
18
26
11
5
20
13
18
14
24
13
6
26
23
5
18
19
20
18
24
1
14
1
4
21
7
18
10
2
14
23
3
21
24
24
24
26
18
14
9
4
4
5
6
18
8
23
5
10
5
18
18
17
14
21
16
9
11
20
19
20
24
20
18
24
19
2
17
5
4
16
11
16
13
8
8
2
23
14
13
24
11
19
3
25
6
2
13
2
18
8
18
19
3
22
7
26
18
20
14
9
19
10
25
14
18
21
23
12
26
11
25
17
22
21
4
23
12
3
23
2
4
7
4
25
22
15
11
3
6
2
18
14
1
21
20
10
3
3
13
6
6
13
19
10
21
3
1
25
8
24
21
1
14
13
18
8
8
7
2
3
26
4
26
3
2
17
6
4
1
15
10
6
8
18
4
12
5
21
11
14
14
23
21
23
13
2
1
26
25
21
13
6
10
24
20
1
24
22
19
12
25
24
26
16
17
26
10
11
26
21
18
18
5
23
24
25
11
20
4
22
23
15
15
7
15
3
22
8
18
11
3
24
21
13
9
12
8
13
16
16
24
17
2
26
13
26
1
12
11
7
22
10
24
15
25
13
9
1
14
14
7
20
21
7
25
19
14
19
17
6
